prompt_strategy,iou_mean,iou_std,dice_mean,dice_std,f1_mean,f1_std,boundary_prec_mean,boundary_prec_std,boundary_recall_mean,boundary_f1_mean,s_alpha_mean,e_phi_mean,f_beta_w_mean,mae_mean,num_samples,model
Center-of-Mass (Single),0.5724368979085082,0.3403845681544324,0.6544811539602468,0.34454757844862177,0.6544811539602468,0.34454757844862177,0.6416722846079839,0.33142196856360945,0.46443436566718316,0.502145496509602,0.742634436137645,0.8300536539425557,0.7057038931944563,0.06768001778812033,2026,Base SAM ViT-H
Edge (Single),0.2051687593342884,0.3134724868413203,0.25101603381948556,0.3471411449138945,0.25101603381948556,0.3471411449138945,0.4962218439662518,0.3534629777338488,0.27032717510496357,0.2813784723410572,0.48108978946204745,0.5974485974939328,0.24120335666530507,0.1631009579578361,2026,Base SAM ViT-H
Multi-Point Grid (4 pts),0.6815172821749849,0.29396566650149636,0.761272156053972,0.28628225006045566,0.761272156053972,0.28628225006045566,0.7306712050662507,0.284321518529212,0.5559960414889368,0.600083922997477,0.8120355879642482,0.8972831398813693,0.8017160477806278,0.0458852821614246,2026,Base SAM ViT-H
Multi-Point Random (3 pts),0.725732446740787,0.23836180970241172,0.8124601915248619,0.21049021801689136,0.8124601915248619,0.21049021801689138,0.7412476843986808,0.27144701716732816,0.6163834302895645,0.6475343117015054,0.8295814491624549,0.9284643528260079,0.8314538523774935,0.044950816225595214,2026,Base SAM ViT-H
Center-of-Mass (Single),0.738112138321649,0.2455239900211162,0.8185115005687744,0.22198920605412914,0.8185115005687744,0.22198920605412914,0.7376109407309842,0.26111518064800765,0.7139934008945006,0.7021578324546051,0.8468371563224943,0.9421943255884627,0.8191028747690814,0.028066690083076294,2026,Specialized SAM ViT-H
Edge (Single),0.6938102744726132,0.27297072043415205,0.779105358457018,0.2530515508318508,0.779105358457018,0.2530515508318508,0.6765944371523795,0.28065876804799755,0.7153886218195694,0.6664379044587209,0.8098444341303122,0.9216146046888087,0.7497533428811601,0.03354656346015853,2026,Specialized SAM ViT-H
Multi-Point Grid (4 pts),0.7556275004220518,0.2280953276730324,0.8350952396004131,0.2014983925675195,0.835095239600413,0.2014983925675195,0.7552113290297384,0.24639608725862044,0.7276100379013489,0.7201656492172781,0.8608849988695031,0.9510905754790843,0.8414112723883195,0.02436965452942726,2026,Specialized SAM ViT-H
Multi-Point Random (3 pts),0.7744399885348628,0.1997299987950134,0.85469279040032,0.1641651186049147,0.85469279040032,0.1641651186049147,0.7711817998230189,0.23006007818918056,0.7488210968572625,0.7393559119700335,0.8738143703194629,0.9594301619121159,0.8620951055631025,0.021515767206951638,2026,Specialized SAM ViT-H
Center-of-Mass (Single),0.7403967648529454,0.2463307009720469,0.8196331515401827,0.22434339497028224,0.8196331515401827,0.22434339497028224,0.7418146540162147,0.2624684784549795,0.7165551430299303,0.7057792928573848,0.8470483726458254,0.9380784905483789,0.820417312638925,0.027548907431079465,2026,LLPM + SAM ViT-H
Edge (Single),0.7194557603394842,0.2576017526185592,0.802416691369654,0.2335513435074745,0.802416691369654,0.2335513435074745,0.7030920352798172,0.27255253555913245,0.7352012447529861,0.6911602690621539,0.8272432194234044,0.9326442419061182,0.7776737226437062,0.029258733548809816,2026,LLPM + SAM ViT-H
Multi-Point Grid (4 pts),0.7547200900107015,0.2335210266963036,0.8330163598556481,0.20792889044851215,0.8330163598556481,0.20792889044851215,0.7540962733297828,0.2505286656418031,0.7331766163932141,0.7206011643548913,0.8557734009843665,0.9461684953027327,0.833344969605865,0.02453405835709336,2026,LLPM + SAM ViT-H
Multi-Point Random (3 pts),0.7719784006354045,0.20695302472194002,0.8514311277358925,0.17302557958504824,0.8514311277358926,0.17302557958504827,0.7581361804826211,0.2417825577343139,0.7538424867010228,0.7344170091424314,0.8661379669933191,0.9553070030621904,0.8484011895598021,0.022158833971072864,2026,LLPM + SAM ViT-H
