prompt_strategy,iou_mean,iou_std,dice_mean,dice_std,f1_mean,f1_std,boundary_prec_mean,boundary_prec_std,boundary_recall_mean,boundary_f1_mean,s_alpha_mean,e_phi_mean,f_beta_w_mean,mae_mean,num_samples,model
Center-of-Mass (Single),0.4889938424530038,0.3471577034112952,0.574468322645629,0.3579683337284382,0.574468322645629,0.3579683337284383,0.42593821682123606,0.3162113219060893,0.3903775930285372,0.37926815476562453,0.6715062918685455,0.7483087476235596,0.6237173286077495,0.12222891959132434,250,Base SAM ViT-H
Edge (Single),0.1526926117391171,0.2633996458792355,0.19772297102978303,0.2975410800114553,0.19772297102978303,0.2975410800114553,0.47412898298423467,0.28662474272263483,0.2235727411431098,0.22461433775852724,0.44250435690498013,0.49017448889116744,0.1775622626886782,0.2228364298984437,250,Base SAM ViT-H
Multi-Point Grid (4 pts),0.688286284824373,0.24823866292298738,0.7826727680068801,0.22666083592927275,0.7826727680068801,0.22666083592927275,0.5667859534290597,0.2846236491291568,0.5743999354950915,0.5437196843743941,0.8018599949905356,0.896497291147932,0.8180961335484673,0.07412423819767144,250,Base SAM ViT-H
Multi-Point Random (3 pts),0.6924765642402217,0.23531674645303796,0.7913088742517737,0.19634960001923615,0.7913088742517737,0.19634960001923615,0.5483370386659003,0.2821627612409097,0.6053806407632092,0.5526481046525558,0.7868916810697671,0.9003360355972252,0.8019479976586597,0.08754810707558625,250,Base SAM ViT-H
Center-of-Mass (Single),0.6577717562113414,0.2806403088073333,0.7497687736035434,0.26288924637156064,0.7497687736035434,0.26288924637156064,0.5461921644926205,0.2766918215273143,0.6169137523768986,0.561031561815676,0.7874812444357001,0.8749593960202103,0.7763305780983744,0.07537970583873167,250,Specialized SAM ViT-H
Edge (Single),0.618565430165717,0.3010830535807672,0.7117622367608656,0.2868814227288229,0.7117622367608656,0.2868814227288229,0.5267014603039419,0.263975414906735,0.6375791440552118,0.5452053970869762,0.7551172588805679,0.8495729625003099,0.7005787472066941,0.08695093183697765,250,Specialized SAM ViT-H
Multi-Point Grid (4 pts),0.6976896875790392,0.24698990746296381,0.7904971071855442,0.21979905956419615,0.7904971071855442,0.21979905956419615,0.561367942965808,0.2678365237849047,0.6583242834344124,0.5879502321207676,0.8139848508124421,0.8992437778319615,0.8167725374019105,0.06672447685145619,250,Specialized SAM ViT-H
Multi-Point Random (3 pts),0.7029955536950226,0.2448031627498836,0.795672303121773,0.21098709339393917,0.795672303121773,0.21098709339393917,0.5746554090041204,0.2603878284855923,0.6749600243483198,0.602173591428422,0.8166758883068357,0.9013724853416766,0.8175007280709888,0.06530152761923572,250,Specialized SAM ViT-H
Center-of-Mass (Single),0.676799157601924,0.2640629339386031,0.769722283281337,0.24267759492433486,0.769722283281337,0.24267759492433486,0.5511480400148501,0.2815880223647782,0.6394443956157486,0.5718918871457759,0.7974891096699969,0.8871728455404647,0.7950457078552139,0.07264927781645772,250,LLPM + SAM ViT-H
Edge (Single),0.6564114860352263,0.28415395266038546,0.7478422450717541,0.264614569050536,0.7478422450717539,0.264614569050536,0.5506689508470374,0.263009803766761,0.6608000438051492,0.5736785166994178,0.7814700063569774,0.8742121012309617,0.746390677039298,0.07703007238932866,250,LLPM + SAM ViT-H
Multi-Point Grid (4 pts),0.7217022648472737,0.2246554019626496,0.8138239142051858,0.1912908224296326,0.8138239142051857,0.19129082242963258,0.5693305712036616,0.26688200365975795,0.6852009972293237,0.6041795677167827,0.8266555598882066,0.9154019274914622,0.8370774018647142,0.06114996413140167,250,LLPM + SAM ViT-H
Multi-Point Random (3 pts),0.7370348379527564,0.21600760701982627,0.82644936271242,0.1809861121560302,0.82644936271242,0.1809861121560302,0.57658301770718,0.26029915016263944,0.7118241493626645,0.6202464467339283,0.8359347504234536,0.9208820103109172,0.8429701479227636,0.05828866193625284,250,LLPM + SAM ViT-H
