prompt_strategy,iou_mean,iou_std,dice_mean,dice_std,f1_mean,f1_std,boundary_prec_mean,boundary_prec_std,boundary_recall_mean,boundary_f1_mean,s_alpha_mean,e_phi_mean,f_beta_w_mean,mae_mean,num_samples,model
Center-of-Mass (Single),0.566662436289005,0.33745496002447345,0.6511306870924018,0.33994547617453,0.6511306870924018,0.33994547617453,0.5887788661693615,0.33187931841352053,0.4706842183866805,0.49040411525685584,0.7278269421195447,0.8050265445955002,0.6972908690172134,0.0931026600970686,4121,Base SAM ViT-H
Edge (Single),0.12655835522722736,0.2505661795188965,0.16193287568749126,0.2851022313773538,0.16193287568749126,0.2851022313773538,0.42007026765892624,0.3083506831460767,0.25226817057830053,0.23402839534458614,0.3843996331323607,0.5219276814963973,0.145624383595072,0.26759536384648686,4121,Base SAM ViT-H
Multi-Point Grid (4 pts),0.7256667537554463,0.248059336355402,0.808747855580597,0.2285110555337131,0.808747855580597,0.2285110555337131,0.7046079780761978,0.27477222955038483,0.6041536997840135,0.6237978812589993,0.8301478911463045,0.9123368274107518,0.8445142526719354,0.0559260555333209,4121,Base SAM ViT-H
Multi-Point Random (3 pts),0.7390265688741439,0.22614038648341325,0.8253221865338467,0.19206243131842257,0.8253221865338467,0.19206243131842257,0.700466518821701,0.27743616623830714,0.6363242374414138,0.6444341261056274,0.830112784327815,0.9229032773396797,0.8447207128314009,0.058977872683079295,4121,Base SAM ViT-H
Center-of-Mass (Single),0.7411391757097596,0.24567251069106774,0.8208294358181396,0.21998727884293026,0.8208294358181396,0.2199872788429303,0.6989525090630376,0.2698372088179402,0.7177726403300951,0.6875379968493094,0.8406891658055103,0.9237104767546137,0.8365806662567699,0.04752338827464118,4121,Specialized SAM ViT-H
Edge (Single),0.7145041976226166,0.26560432173882415,0.7964076515519686,0.24334146955655397,0.7964076515519686,0.24334146955655397,0.6506983568921656,0.2812013117383868,0.7228206882117614,0.6602007016862981,0.81526674414818,0.9112531024655391,0.7881809676922951,0.05185750007992259,4121,Specialized SAM ViT-H
Multi-Point Grid (4 pts),0.7701751512267688,0.21445350276360525,0.8484595070390529,0.1823321916024391,0.8484595070390529,0.1823321916024391,0.7184918178199546,0.25787214400448527,0.7432169885131771,0.7122473266248422,0.8618187166864515,0.9404520515504166,0.8701055217347364,0.04066523973301184,4121,Specialized SAM ViT-H
Multi-Point Random (3 pts),0.7796892383760738,0.20484402617773645,0.8569656805972116,0.16998143215164632,0.8569656805972116,0.16998143215164632,0.7218593905508737,0.25142967002059374,0.7591118793190614,0.7222299158224069,0.8675676336125604,0.945466303912586,0.8746993819282318,0.0381498334540035,4121,Specialized SAM ViT-H
Center-of-Mass (Single),0.7521487249317379,0.23685976251886542,0.8306031750891419,0.21054054266307395,0.8306031750891419,0.21054054266307393,0.7065572565696651,0.26952580682371985,0.7288069666802959,0.697874206421894,0.8475345661664184,0.9289153874702137,0.8455049711122573,0.045278839078289515,4121,LLPM + SAM ViT-H
Edge (Single),0.7421138002394996,0.24622050068081733,0.8213741861552251,0.220213646184659,0.8213741861552251,0.22021364618465902,0.6795504353869776,0.2738428615315915,0.746716021831244,0.6887273001611687,0.8352324038570788,0.9261732120127846,0.8183032078963749,0.0457828198745274,4121,LLPM + SAM ViT-H
Multi-Point Grid (4 pts),0.7791130349188963,0.20811583601958702,0.8555965175679577,0.17623189164056746,0.8555965175679577,0.17623189164056746,0.722946018828452,0.2565926567352531,0.7539147182415897,0.7194484856527333,0.8653170014836375,0.9442899219701294,0.871835500210383,0.03847418632833415,4121,LLPM + SAM ViT-H
Multi-Point Random (3 pts),0.7859020729154719,0.19881133880130816,0.8622271271149355,0.1633897006619934,0.8622271271149355,0.1633897006619934,0.7224200595168208,0.254267766583547,0.7666776227377659,0.7256017556234597,0.8684607735373586,0.9474040492821946,0.8757270627343343,0.036776848248228806,4121,LLPM + SAM ViT-H
