prompt_strategy,category,iou_mean,dice_mean,s_alpha_mean,mae_mean,num_samples,model
Center-of-Mass (Single),Unknown,0.566662436289005,0.6511306870924018,0.7278269421195447,0.0931026600970686,4121,Base SAM ViT-H
Edge (Single),Unknown,0.12655835522722736,0.16193287568749126,0.3843996331323607,0.26759536384648686,4121,Base SAM ViT-H
Multi-Point Grid (4 pts),Unknown,0.7256667537554463,0.808747855580597,0.8301478911463045,0.0559260555333209,4121,Base SAM ViT-H
Multi-Point Random (3 pts),Unknown,0.7390265688741439,0.8253221865338467,0.830112784327815,0.058977872683079295,4121,Base SAM ViT-H
Center-of-Mass (Single),Unknown,0.7411391757097596,0.8208294358181396,0.8406891658055103,0.04752338827464118,4121,Specialized SAM ViT-H
Edge (Single),Unknown,0.7145041976226166,0.7964076515519686,0.81526674414818,0.05185750007992259,4121,Specialized SAM ViT-H
Multi-Point Grid (4 pts),Unknown,0.7701751512267688,0.8484595070390529,0.8618187166864515,0.04066523973301184,4121,Specialized SAM ViT-H
Multi-Point Random (3 pts),Unknown,0.7796892383760738,0.8569656805972116,0.8675676336125604,0.0381498334540035,4121,Specialized SAM ViT-H
Center-of-Mass (Single),Unknown,0.7521487249317379,0.8306031750891419,0.8475345661664184,0.045278839078289515,4121,LLPM + SAM ViT-H
Edge (Single),Unknown,0.7421138002394996,0.8213741861552251,0.8352324038570788,0.0457828198745274,4121,LLPM + SAM ViT-H
Multi-Point Grid (4 pts),Unknown,0.7791130349188963,0.8555965175679577,0.8653170014836375,0.03847418632833415,4121,LLPM + SAM ViT-H
Multi-Point Random (3 pts),Unknown,0.7859020729154719,0.8622271271149355,0.8684607735373586,0.036776848248228806,4121,LLPM + SAM ViT-H
