prompt_strategy,category,iou_mean,dice_mean,s_alpha_mean,mae_mean,num_samples,model
Center-of-Mass (Single),Amphibian,0.6795530009924061,0.7538160814350054,0.8221882002339387,0.0475825408477518,124,Base SAM ViT-H
Center-of-Mass (Single),Aquatic,0.5626834753782561,0.6338987808727345,0.7141193370987964,0.10282118885363417,474,Base SAM ViT-H
Center-of-Mass (Single),Flying,0.6102970879969429,0.6931622015159167,0.770248770491968,0.055185022428204056,714,Base SAM ViT-H
Center-of-Mass (Single),Other,0.6939844066802785,0.7589699710806056,0.8390872561156619,0.02172784747955551,15,Base SAM ViT-H
Center-of-Mass (Single),Terrestrial,0.5187678523322806,0.6090632907629033,0.7175815937453947,0.061164826510811086,699,Base SAM ViT-H
Edge (Single),Amphibian,0.19290713732491332,0.23061017091026775,0.4997653098689578,0.14444554289231842,124,Base SAM ViT-H
Edge (Single),Aquatic,0.1968443380770629,0.24218765294893563,0.46044871725252917,0.20597178771493635,474,Base SAM ViT-H
Edge (Single),Flying,0.2001903359890219,0.23925189322419219,0.49075401661639356,0.1471524773020437,714,Base SAM ViT-H
Edge (Single),Other,0.3074012434031136,0.32318602479684483,0.5407258266021029,0.13068535292412234,15,Base SAM ViT-H
Edge (Single),Terrestrial,0.21588023832223596,0.27109046308094875,0.4806224145715623,0.15432548932693502,699,Base SAM ViT-H
Multi-Point Grid (4 pts),Amphibian,0.8138351160022743,0.882071036882117,0.9052414183091709,0.02174035987848908,124,Base SAM ViT-H
Multi-Point Grid (4 pts),Aquatic,0.6782295007381309,0.7533644369612921,0.7998728259159578,0.06389232311120756,474,Base SAM ViT-H
Multi-Point Grid (4 pts),Flying,0.7044366123479054,0.7798960338547248,0.8305556618343758,0.038726493917021994,714,Base SAM ViT-H
Multi-Point Grid (4 pts),Other,0.8473665329523176,0.8961368281025331,0.9335225682737637,0.006776919311732005,15,Base SAM ViT-H
Multi-Point Grid (4 pts),Terrestrial,0.6333039152241401,0.7232875763640925,0.7822244131433692,0.04610936399566741,699,Base SAM ViT-H
Multi-Point Random (3 pts),Amphibian,0.8365123852991866,0.9022869534326353,0.9141842775336989,0.022230373588505457,124,Base SAM ViT-H
Multi-Point Random (3 pts),Aquatic,0.7495762411611363,0.8332340328707364,0.8430626791998407,0.04948143003308281,474,Base SAM ViT-H
Multi-Point Random (3 pts),Flying,0.7491213523665494,0.8301160200926808,0.846095614334016,0.039233910651108934,714,Base SAM ViT-H
Multi-Point Random (3 pts),Other,0.8922932902155181,0.941587078278123,0.9490916184061376,0.006893978320068353,15,Base SAM ViT-H
Multi-Point Random (3 pts),Terrestrial,0.6757181876965919,0.7732579049275017,0.7908268679158857,0.04782444674091192,699,Base SAM ViT-H
Center-of-Mass (Single),Amphibian,0.780329511801651,0.8450121403770919,0.873563892417256,0.026188855756418643,124,Specialized SAM ViT-H
Center-of-Mass (Single),Aquatic,0.7018010746353721,0.7850498217767679,0.8171656243375957,0.04735723895195742,474,Specialized SAM ViT-H
Center-of-Mass (Single),Flying,0.7448210643986433,0.8230947404627589,0.8608638502053644,0.021527789627622383,714,Specialized SAM ViT-H
Center-of-Mass (Single),Other,0.8676299148202599,0.9263994567450883,0.9297576581701337,0.018725618043869494,15,Specialized SAM ViT-H
Center-of-Mass (Single),Terrestrial,0.6752749503690136,0.7693080045267285,0.8125715044478785,0.029229546936131466,699,Specialized SAM ViT-H
Edge (Single),Amphibian,0.6893885614114369,0.7586973978785828,0.8121968556125215,0.03406020680821943,124,Specialized SAM ViT-H
Edge (Single),Aquatic,0.6607701031248546,0.7478252788554269,0.7883144301872,0.0502653750170116,474,Specialized SAM ViT-H
Edge (Single),Flying,0.6725504646270852,0.7523580125004935,0.8083383044141284,0.02813190370719941,714,Specialized SAM ViT-H
Edge (Single),Other,0.8816137180036493,0.9354153352143886,0.939444125497748,0.006477800215805754,15,Specialized SAM ViT-H
Edge (Single),Terrestrial,0.6259309494106636,0.7195318450547881,0.7653646721105727,0.036366651985105726,699,Specialized SAM ViT-H
Multi-Point Grid (4 pts),Amphibian,0.7965482085962615,0.8635259895742824,0.888355557456872,0.021888963823096887,124,Specialized SAM ViT-H
Multi-Point Grid (4 pts),Aquatic,0.711485433684415,0.7951848875939409,0.8275849817018577,0.04423812912175372,474,Specialized SAM ViT-H
Multi-Point Grid (4 pts),Flying,0.7500298237055154,0.8292212999018045,0.8660103727974751,0.01982011264811177,714,Specialized SAM ViT-H
Multi-Point Grid (4 pts),Other,0.8806887964285866,0.9339734126311557,0.9378539014350735,0.016308650241995962,15,Specialized SAM ViT-H
Multi-Point Grid (4 pts),Terrestrial,0.6857555771233137,0.7799573484392875,0.8195400830540399,0.027093499459329574,699,Specialized SAM ViT-H
Multi-Point Random (3 pts),Amphibian,0.7971484391855077,0.8664122597839311,0.8814057812662692,0.026111626478989666,124,Specialized SAM ViT-H
Multi-Point Random (3 pts),Aquatic,0.7509543611766718,0.836957919073601,0.8575229817667741,0.03453454431445993,474,Specialized SAM ViT-H
Multi-Point Random (3 pts),Flying,0.7683195659152272,0.8487521937461132,0.8783258735119331,0.018542480271296565,714,Specialized SAM ViT-H
Multi-Point Random (3 pts),Other,0.8762597680608238,0.9267483781329188,0.9345655456981314,0.007006858804433899,15,Specialized SAM ViT-H
Multi-Point Random (3 pts),Terrestrial,0.7047171780170789,0.7992516755095346,0.8307850555640667,0.025241168169292498,699,Specialized SAM ViT-H
